person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag,name,lower_name
762,"Bradley, Shawn",Shawn Bradley,FALSE,1993,2004,shawn_bradley,0,,,,,Y,Shawn Bradley,shawn bradley
431,"Kemp, Shawn",Shawn Kemp,FALSE,1989,2002,shawn_kemp,0,,,,,Y,Shawn Kemp,shawn kemp
1627848,"Long, Shawn",Shawn Long,FALSE,2016,2016,shawn_long,0,,,,,Y,Shawn Long,shawn long
1890,"Marion, Shawn",Shawn Marion,FALSE,1999,2014,shawn_marion,0,,,,,Y,Shawn Marion,shawn marion
704,"Respert, Shawn",Shawn Respert,FALSE,1995,1998,shawn_respert,0,,,,,Y,Shawn Respert,shawn respert
200761,"Williams, Shawne",Shawne Williams,FALSE,2006,2014,shawne_williams,0,,,,,Y,Shawne Williams,shawne williams
1035,"Scott, Shawnelle",Shawnelle Scott,FALSE,1996,2001,shawnelle_scott,0,,,,,Y,Shawnelle Scott,shawnelle scott
203963,"Whittington, Shayne",Shayne Whittington,TRUE,2014,2015,shayne_whittington,1610612754,Indiana,Pacers,IND,pacers,Y,Shayne Whittington,shayne whittington
1578,"Seals, Shea",Shea Seals,FALSE,1997,1997,shea_seals,0,,,,,Y,Shea Seals,shea seals
200749,"Williams, Shelden",Shelden Williams,FALSE,2006,2011,shelden_williams,0,,,,,Y,Shelden Williams,shelden williams
1627815,"Mac, Sheldon",Sheldon Mac,FALSE,2016,2016,sheldon_mac,0,,,,,Y,Sheldon Mac,sheldon mac
202714,"Mack, Shelvin",Shelvin Mack,TRUE,2011,2018,shelvin_mack,1610612762,Utah,Jazz,UTA,jazz,Y,Shelvin Mack,shelvin mack
428,"Douglas, Sherman",Sherman Douglas,FALSE,1989,2000,sherman_douglas,0,,,,,Y,Sherman Douglas,sherman douglas
202395,"Collins, Sherron",Sherron Collins,FALSE,2010,2010,sherron_collins,0,,,,,Y,Sherron Collins,sherron collins
204021,"Bhullar, Sim",Sim Bhullar,FALSE,2014,2014,sim_bhullar,0,,,,,Y,Sim Bhullar,sim bhullar
